D1_U1,6,1,0.8692459088018566,0.024862717420260583
D1_U2,2,1,0.8656459973558908,0.02576221914267829
D1_U4,5,1,0.8609171070347077,0.026992763771263695
D2_U2,5,1,0.8600253902950659,0.027231217059049295
D3_U1,3,1,0.8634500810760416,0.026326597665695117
D3_U2,8,1,0.8589207911395033,0.027529478426374765
D3_U3,9,1,0.8387294883537904,0.03358446555427197
D3_U5,7,1,0.8541679073064643,0.028850001229592692
D4_U2,10,1,0.8634694820602696,0.02632155835345995
D4_U5,5,1,0.8740634320949493,0.023707318741823635
D5_U2,5,1,0.8624242570692855,0.026594410315589734
