D1_U2,2,1,D2,D2_U38,3,2,0.9522232,0.8548841409762346
D1_U2,2,1,D3,D3_U45,1,3,0.52127546,0.9838247325107273
D1_U2,2,1,D5,D5_U49,4,2,0.28107244,0.8315072390326944
D1_U2,2,1,D4,D4_U16,4,1,0.8602147,0.37562095393231365
D1_U2,2,1,D3,D3_U14,2,3,0.3696239,0.9622593284520087
D1_U2,2,1,D2,D2_U15,3,3,0.39567846,0.9038585509497972
D1_U2,2,1,D3,D3_U14,2,3,0.3696239,0.9298243393586136
D1_U2,2,1,D1,D1_U17,2,2,0.04339695,0.9510718287578586
D1_U2,2,1,D3,D3_U28,2,2,0.15172642,0.9301889198721527
D1_U2,2,1,D4,D4_U49,4,3,0.33690774,0.8408686574528517
