D2_U5,3,2,D3,D3_U46,2,2,0.21859169,0.9012664987183769
D2_U5,3,2,D5,D5_U38,2,2,0.32054794,0.9225119501555892
D2_U5,3,2,D5,D5_U13,2,2,0.5783202,0.9150233612109994
D2_U5,3,2,D2,D2_U34,2,1,0.4145924,0.8631779303324489
D2_U5,3,2,D4,D4_U46,4,3,0.056420207,0.8118534269479987
D2_U5,3,2,D4,D4_U37,3,3,0.51064396,0.8739746818035405
D2_U5,3,2,D1,D1_U33,3,2,0.5015986,0.874082466219134
D2_U5,3,2,D3,D3_U7,2,1,0.68872476,0.8369587252005701
D2_U5,3,2,D4,D4_U21,1,3,0.5059279,0.9882861350244087
D2_U5,3,2,D2,D2_U15,3,3,0.39567846,0.8353768886126687
D2_U5,3,2,D3,D3_U7,2,1,0.68872476,0.8400548324263682
D2_U5,3,2,D2,D2_U18,4,1,0.36947477,0.36178514861002936
D2_U5,3,2,D5,D5_U48,2,2,0.47100562,0.8968668067751042
